bin_center,accuracy_before,accuracy_after,count_before,count_after
0.35000000000000003,0.0,0.0,1,1
0.45,0.4925373134328358,0.5032467532467533,134,308
0.55,0.5297925783981148,0.5345463344933281,77234,86782
0.6500000000000001,0.6107946690261572,0.6278595696489241,90415,101545
0.75,0.7154141800413311,0.7374684974753137,103554,111499
0.8500000000000001,0.8133410379573116,0.8387232712097114,138445,147126
0.95,0.9709038097203495,0.9764367674071878,644483,607005
