bin_center,accuracy_before,accuracy_after,count_before,count_after
0.45,0.3795180722891566,0.4354066985645933,166,209
0.55,0.5426703877790834,0.5437380952380952,81696,84000
0.6500000000000001,0.6324272281684505,0.6370145262262201,79976,82265
0.75,0.7256432989030005,0.7316764253976163,93619,96324
0.8500000000000001,0.8363887523120508,0.8435580694629605,128133,129767
0.95,0.9796518736319773,0.9807979737071577,670676,661701
