bin_center,accuracy_before,accuracy_after,count_before,count_after
0.35000000000000003,0.0,0.0,1,1
0.45,0.5,0.5074626865671642,58,134
0.55,0.5387097683332394,0.5459080393290919,70964,82992
0.6500000000000001,0.6157895414237358,0.6337060755881475,77697,90411
0.75,0.6998823580671866,0.7311065111027475,91804,106280
0.8500000000000001,0.8014066993675956,0.839638403651281,131087,147236
0.95,0.9698291664151449,0.9782267452537179,679199,626227
