model,confidence,holding,return,cagr,sharpe,max_dd,win_rate,pf,n_trades,cost_pct,avg_holding,final_equity
lstm,0.65,10,-0.5939555715171376,-0.1687286203439834,-0.9577498767940646,-0.6033352879305176,0.45235975066785394,0.9021492541299083,74118,262.01026974499734,10.359210987884184,40604442.84828624
lstm,0.65,30,0.4885407208192476,0.08498181197332744,0.9056431009814344,-0.22033056517847976,0.5022233762861501,1.1197684564251664,30809,44.748440293945826,30.26758414748937,148854072.08192477
lstm,0.65,50,0.7259855528163359,0.11841130849348325,1.2663384931797876,-0.18949374719733736,0.513340174448435,1.2317394273815727,19490,25.237872836595688,50.11970241149307,172598555.2816336
lstm,0.65,75,0.8373706759164414,0.13284448888307443,1.4122658348650023,-0.1864820273663072,0.5320296695886716,1.3343826157414334,13347,16.598979966213218,74.78279763242676,183737067.59164414
lstm,0.75,10,-0.5335040545255612,-0.14473374956577623,-0.8860787559966745,-0.5453290194896822,0.4534693033831737,0.9099249701215677,72565,230.76723115392332,10.325583959208984,46649594.54744388
lstm,0.75,30,0.5039721843629372,0.08727859700287866,0.9283100393219448,-0.22510541018900143,0.5017192258571569,1.125679184943937,30537,43.79162321436774,30.227363526214102,150397218.43629372
lstm,0.75,50,0.7172480881666425,0.11724809572269024,1.2456066055158022,-0.19792181884934565,0.5144007432641685,1.2314502387123274,19374,25.277707859779646,50.08026220708165,171724808.81666425
lstm,0.75,75,0.8506182999524501,0.13451444144500058,1.4383546007420338,-0.18157415775892072,0.5310878881287121,1.3438788512078523,13301,16.228621310562357,74.73377941508157,185061829.995245
lstm,0.8,10,-0.5097805729799018,-0.13599075663663207,-0.8690956623809153,-0.5222449199459238,0.4536807799364973,0.9126284503158315,71493,221.6824345914994,10.305834137607878,49021942.70200983
lstm,0.8,30,0.5082665229496122,0.0879144235699223,0.9354138708629859,-0.2214119455703539,0.5016462531278809,1.128366425954364,30372,43.297879639435955,30.206901093112076,150826652.2949612
lstm,0.8,50,0.6953059946732962,0.11430607738823872,1.2248418963798997,-0.19504349542432736,0.5138413685847589,1.2267333156108893,19290,25.59435873809837,50.06905132192846,169530599.46732962
lstm,0.8,75,0.8611396211082951,0.1358339674264213,1.4646820582874498,-0.17384877972435286,0.5339915586373228,1.3456395318634211,13268,16.111591674505522,74.72135966234549,186113962.1108295
lstm,0.85,10,-0.49360069802578455,-0.1302189346024154,-0.8872935177796281,-0.5040110996709205,0.45491873396065013,0.9132166336514873,70140,219.15701511947555,10.283704020530369,50639930.19742155
lstm,0.85,30,0.4777984409472673,0.083371754926723,0.8974711724112368,-0.2215618382660008,0.49857209271435216,1.1214645915937296,30114,44.61199232766939,30.186026432888358,147779844.09472674
lstm,0.85,50,0.7117429026125672,0.11651277578269936,1.2537012702509034,-0.19404837025006266,0.5142901764797752,1.2306371786429628,19209,25.197603402534973,50.047581862668544,171174290.26125672
lstm,0.85,75,0.8515048626760304,0.13462585900673196,1.4467123977931688,-0.17882043446960783,0.5303328290468986,1.3454265122731555,13220,16.169790729789284,74.70431164901665,185150486.26760304
lstm,0.9,10,-0.4541831955483192,-0.11674784499157331,-0.8300309455693661,-0.46538114187361224,0.4557165861513688,0.9177276591280843,68310,205.42589850220602,10.256360708534622,54581680.44516808
lstm,0.9,30,0.45607549290419036,0.08008726994203097,0.8676389834823856,-0.21431316833416916,0.4997985360284736,1.1160941612040303,29782,45.603852425521936,30.157209052447786,145607549.29041904
lstm,0.9,50,0.7102279532267559,0.11631009629155176,1.2574582891261685,-0.19902519137080898,0.5140235910878113,1.2307749641177248,19075,25.210057604632414,50.027522935779814,171022795.3226756
lstm,0.9,75,0.869827039970144,0.13691903322262022,1.4769568087204406,-0.17644107388101898,0.5323254577224037,1.357383949921633,13163,15.832561271914914,74.6762136291119,186982703.9970144
cnn1d,0.65,10,-0.5851800531308589,-0.165076233444156,-0.9457521033376585,-0.598292062183879,0.45252729963600485,0.9044564484279987,75001,250.90647967311276,10.368901747976693,41481994.686914116
cnn1d,0.65,30,0.4511737549512229,0.07934075133153251,0.8430934176509949,-0.2306403229918619,0.5008235104149846,1.1104845354931403,30965,46.70178562701006,30.278152753108348,145117375.49512228
cnn1d,0.65,50,0.7275899535027817,0.11862439233488375,1.2714913932044098,-0.1912329005283027,0.5145750230131942,1.2337836347733395,19554,25.13009468845623,50.127544236473355,172758995.35027817
cnn1d,0.65,75,0.8384190616457428,0.13297699313968647,1.414861188539081,-0.1885470376637995,0.5306122448979592,1.3336934649298862,13377,16.646337906267693,74.80817821634149,183841906.16457427
cnn1d,0.75,10,-0.549577668881338,-0.1508605284827801,-0.8957524670682984,-0.5620023709413092,0.45372497315518345,0.9084930713941878,73571,235.56552997244404,10.33182911745117,45042233.111866206
cnn1d,0.75,30,0.47165280344568306,0.08244645610195467,0.8787230697460372,-0.22240143688905778,0.5007163323782235,1.1165652332197327,30712,45.49420407092906,30.24352044803334,147165280.3445683
cnn1d,0.75,50,0.7152870038675578,0.11698637159664171,1.2539670798103866,-0.19294404733996406,0.5156531126304426,1.2299211952206475,19453,25.39920768628985,50.091605407906236,171528700.3867558
cnn1d,0.75,75,0.8333722128964882,0.1323385753730566,1.408214699311519,-0.19145128749564688,0.5295704969642455,1.3323753082379923,13341,16.612131527750066,74.74034929915298,183337221.28964883
cnn1d,0.8,10,-0.5167864424709423,-0.13853702882916907,-0.8550617752370551,-0.5295038939343297,0.45419999724635485,0.9126474568594771,72631,220.84903446779572,10.312180749266842,48321355.75290577
cnn1d,0.8,30,0.5001577440278879,0.08671261345066172,0.9304504084570697,-0.22362601401785775,0.5006871278057718,1.124658431482634,30562,43.93048151625496,30.220240821935736,150015774.4027888
cnn1d,0.8,50,0.7136915650257487,0.11677327056641174,1.2443830671935205,-0.2003271593447692,0.5135107260726073,1.230578647999165,19392,25.30067182979264,50.07709364686469,171369156.50257486
cnn1d,0.8,75,0.8493680536465023,0.13435724631099766,1.4444848086787268,-0.17991870399897705,0.5317358972432961,1.3431046570186576,13313,16.27208701901291,74.7348456396004,184936805.36465022
cnn1d,0.85,10,-0.4953623552819848,-0.13084019449243245,-0.872412020510617,-0.5072060796614927,0.45505247964574486,0.9144635513520608,71361,214.72589373049783,10.28762209049761,50463764.47180152
cnn1d,0.85,30,0.47931193042980125,0.08359915923074479,0.9005482387983308,-0.22016035576685036,0.4982382191194389,1.1202741894243304,30367,44.825297508731296,30.199525801034017,147931193.04298013
cnn1d,0.85,50,0.6872681080700878,0.11322077196074232,1.2023838406415959,-0.20286382421950405,0.511007511007511,1.2220675918828998,19305,26.007626336072008,50.05672105672106,168726810.80700877
cnn1d,0.85,75,0.8504901154822677,0.1344983285255914,1.4529513032452641,-0.17992828357198673,0.5282990428819052,1.343688634430313,13269,16.213956666284787,74.70653402667872,185049011.54822677
cnn1d,0.9,10,-0.47152897256471427,-0.12257722182386965,-0.8670051757932055,-0.48378650335468554,0.4561020455067801,0.9163564086996528,69616,209.27351131408324,10.2600695242473,52847102.743528575
cnn1d,0.9,30,0.4541649125814802,0.07979653276398224,0.8597047333975549,-0.22648029429648997,0.4971371504660453,1.1152960567525194,30040,45.84638549884359,30.16884154460719,145416491.258148
cnn1d,0.9,50,0.6983122967933484,0.11471094852273667,1.2308020952948733,-0.20432436062557444,0.5127670661803022,1.2248636067302139,19190,25.7261798195113,50.030380406461695,169831229.67933485
cnn1d,0.9,75,0.8451463817260132,0.13382582485274752,1.4574730876171464,-0.17037561584205646,0.5307156907247692,1.3451333654981659,13218,16.23694408304299,74.67589650476623,184514638.1726013
cnn_lstm,0.65,10,-0.5505971771323377,-0.1512549627412053,-0.8951526283759246,-0.5608618447268252,0.45324565796062516,0.9110625061995442,75886,226.86473830403796,10.396660780644652,44940282.28676623
cnn_lstm,0.65,30,0.49189760544354466,0.08548304871635137,0.8986603654608073,-0.22740491412322159,0.5013017066820943,1.1202173348633593,31113,44.74333461614548,30.30485649085591,149189760.54435447
cnn_lstm,0.65,50,0.7403312528192183,0.12031102934131166,1.2877519115650182,-0.19475423648919243,0.5153277225197653,1.2371730375614365,19605,24.84618946891494,50.14914562611579,174033125.28192183
cnn_lstm,0.65,75,0.8306011158812816,0.13198744196491274,1.4032812305147708,-0.18921751194529834,0.528552258834054,1.328298643239485,13414,16.75386998456689,74.81250931862233,183060111.58812815
cnn_lstm,0.75,10,-0.5779332907946177,-0.1621061403717735,-0.9590159558976782,-0.5891743742961051,0.4524979195189391,0.9051336138854027,74502,248.7634312590681,10.35715819709538,42206670.92053822
cnn_lstm,0.75,30,0.4657109779928992,0.08154891832122835,0.8611371959201952,-0.23269400032373455,0.5022166132737922,1.1152538762930275,30903,45.82391083265915,30.26505517263696,146571097.7992899
cnn_lstm,0.75,50,0.7272748666600448,0.11858255740368717,1.269285065803625,-0.19781679875174984,0.51606950638167,1.2332365464509605,19509,25.12032358347609,50.11148700599723,172727486.66600448
cnn_lstm,0.75,75,0.8382192830223676,0.13295174798469866,1.4082455807738958,-0.18938222944650807,0.5308411214953271,1.3296306085030638,13375,16.633317707243776,74.76014953271029,183821928.30223677
cnn_lstm,0.8,10,-0.5376325461473176,-0.14629119094972776,-0.8930679836840282,-0.549582967696715,0.45426017497147203,0.9104110100201671,73612,228.79646734408686,10.333858610009237,46236745.38526824
cnn_lstm,0.8,30,0.4749568838515126,0.08294430567389988,0.8887138708093653,-0.22020442449771088,0.5012855980471929,1.1175992669084802,30725,45.31184403259781,30.238437754271764,147495688.38515127
cnn_lstm,0.8,50,0.7265063035073436,0.11848048774532072,1.2717878594376681,-0.19869170793563531,0.5159350262156883,1.2347195534723039,19454,25.03318060423941,50.09936259895137,172650630.35073435
cnn_lstm,0.8,75,0.8256829812851689,0.1313632096331161,1.3954361245699836,-0.18332950795449127,0.5329336830273511,1.3298888779486526,13345,16.681161325324762,74.74702135631323,182568298.12851688
cnn_lstm,0.85,10,-0.5094366763735171,-0.13586651465052146,-0.8724453870073643,-0.5206036580609001,0.45469631596415533,0.913312795289877,72312,218.94292528198213,10.306823210532139,49056332.36264829
cnn_lstm,0.85,30,0.47337280116003155,0.08270573129071579,0.8892856059371497,-0.22231394642301217,0.49973775650691665,1.1179706024442948,30506,45.168312909856986,30.209139185733953,147337280.11600316
cnn_lstm,0.85,50,0.6978001082391054,0.11464201025950471,1.2253427101152454,-0.19461137812494064,0.5140129032258065,1.224312801192731,19375,25.809566264715194,50.06828387096774,169780010.82391053
cnn_lstm,0.85,75,0.8387193291885269,0.13301493254007135,1.4164988387094795,-0.18402630657283986,0.5317084179643421,1.3369152125371446,13293,16.443579025352083,74.71962687128564,183871932.9188527
cnn_lstm,0.9,10,-0.4662312316684798,-0.12078088190526415,-0.8346292985752907,-0.4803694402925226,0.4554303059668524,0.9181408288781862,70171,205.04562148871847,10.273603055393254,53376876.833152026
cnn_lstm,0.9,30,0.46602136396313365,0.0815958749647101,0.8748700602995838,-0.21445733222307323,0.4984075376550992,1.1171143479125267,30142,45.389800343264746,30.17331298520337,146602136.39631337
cnn_lstm,0.9,50,0.7121157260781941,0.11656263259348565,1.2507391902340865,-0.1878822310034613,0.5164766515695768,1.2314292642699665,19209,25.242183788707234,50.036128897912434,171211572.6078194
cnn_lstm,0.9,75,0.8294811251812431,0.13184540491896324,1.423849051156235,-0.17733051751526477,0.5310986682808717,1.3401143250635053,13216,16.44660173737557,74.72639225181598,182948112.5181243
