model,total_return,cagr,sharpe,max_drawdown,max_dd_duration_days,win_rate,avg_win,avg_loss,profit_factor,delta_exposure,n_trades,total_costs,total_gross_pnl,cost_pct_gross_pnl,avg_holding_bars,initial_equity,final_equity,bars_processed
lstm,-1.0,-1.0,0.4898515294883303,-1.0,1051984,0.45235975066785394,16367.555647911035,14986.286407042684,0.9021492541299083,0.0,74118,96261580.75381583,36739621.25511449,262.0102697449973,928.8067810788202,100000000.0,2.077802872570316e-19,1054266
cnn1d,-1.0,-1.0,0.5059696678536105,-1.0,1051984,0.45252729963600485,16340.747585308945,14933.67095873571,0.9044564484279989,0.0,75001,97409534.9791121,38823044.7878507,250.9064796731128,929.6874441674111,100000000.0,2.426352592106638e-19,1054266
cnn_lstm,-1.0,-1.0,0.6272817614835221,-1.0,1053223,0.45324565796062516,16415.570907395162,14936.513266517228,0.9110625061995442,0.0,75886,98563039.72394277,43445729.14273318,226.86473830403796,932.1838942624463,100000000.0,9.123096967190826e-19,1054266
