percentile,final_equity,max_drawdown
5,57493456.28085805,-0.43604294236289487
25,57493456.28085871,-0.4312357526673767
50,57493456.28085911,-0.42879889176494335
75,57493456.28085964,-0.4268744550262459
95,57493456.280860186,-0.4257117332667706
