percentile,cagr,sharpe,max_dd
5,-0.9982756955083989,-2.7560153110346164,-1.0
25,-0.9971924338049472,-2.4780917397151123,-1.0
50,-0.9960007575182275,-2.261661326767927,-1.0
75,-0.9944227172735209,-2.0801077023364356,-1.0
95,-0.9896815890558999,-1.7301886173279495,-1.0
