percentile,cagr,sharpe,max_dd
5,-0.997951880866489,-2.6113504414586672,-1.0
25,-0.9968185477277418,-2.351611291290147,-1.0
50,-0.9955443625097193,-2.16437031968564,-1.0
75,-0.9935626378380865,-1.9627173199555747,-1.0
95,-0.9883772518481247,-1.6309382038056186,-1.0
