model,period,return,sharpe,max_drawdown,n_trades,win_rate,cost_pct
lstm,P1: 2023-Q1 (Jan-Mar),-0.06506917837400306,-1.7433692773326723,-0.11205054224548065,1699,0.43025309005297235,35.927363826196576
lstm,P2: 2023-Q2-Q3 (Apr-Sep),0.2794093011613159,4.307752478126935,-0.04440840184391796,3630,0.547107438016529,14.335558211338356
lstm,P3: 2023-Q4-2024-Q1 (Oct-Mar),0.3313475656586551,3.381038057008804,-0.09069148984497648,3862,0.5380631796996375,13.301154619513284
lstm,P4: 2024-Q2-Q3 (Apr-Sep),0.1555847568392048,1.7979128817557601,-0.07578776673711897,2929,0.5186070331171048,19.287253423930945
cnn1d,P1: 2023-Q1 (Jan-Mar),-0.08047950284250616,-2.112709938792271,-0.12503773482982364,1707,0.4200351493848858,27.086808365578218
cnn1d,P2: 2023-Q2-Q3 (Apr-Sep),0.29856842687018337,4.66615386732638,-0.041499373805309506,3636,0.5475797579757976,13.544260536088458
cnn1d,P3: 2023-Q4-2024-Q1 (Oct-Mar),0.33784149648425954,3.4118957187820396,-0.09112616376478494,3872,0.5379648760330579,13.095933788504482
cnn1d,P4: 2024-Q2-Q3 (Apr-Sep),0.11888565631833492,1.3911880460244945,-0.07714888711990973,2935,0.5100511073253833,23.6277445841699
cnn_lstm,P1: 2023-Q1 (Jan-Mar),-0.07434304792103785,-1.9645192632434505,-0.12049198522217425,1705,0.4187683284457478,28.2227947325461
cnn_lstm,P2: 2023-Q2-Q3 (Apr-Sep),0.28358473780798454,4.4025507481889115,-0.04227406262824105,3642,0.5496979681493684,14.260386612138278
cnn_lstm,P3: 2023-Q4-2024-Q1 (Oct-Mar),0.32691536688883605,3.352407600590299,-0.09211493630795566,3889,0.542041655952687,13.47435232414204
cnn_lstm,P4: 2024-Q2-Q3 (Apr-Sep),0.1393712440850312,1.613807466675808,-0.07665594549860748,2943,0.510363574583758,21.169725718478553
