model,period,return,sharpe,max_drawdown,n_trades,win_rate,cost_pct
lstm,P1: 2023-Q1 (Jan-Mar),-0.08082482681918923,-1.8951866160571906,-0.13058553194445763,1699,0.429664508534432,25.568366478384707
lstm,P2: 2023-Q2-Q3 (Apr-Sep),0.3188735589440792,4.5494130843182115,-0.04206630831613701,3630,0.5509641873278237,12.771855350343744
lstm,P3: 2023-Q4-2024-Q1 (Oct-Mar),0.4127275973146334,3.573915401142772,-0.10724961586759828,3862,0.5510098394614189,10.947700235023618
lstm,P4: 2024-Q2-Q3 (Apr-Sep),0.14186263193879345,1.2878670140657276,-0.11296176269876619,2929,0.5233868214407648,19.274157763529935
cnn1d,P1: 2023-Q1 (Jan-Mar),-0.08511499223689889,-1.9298465423242965,-0.13497289093806092,1707,0.424721734036321,24.625316956898676
cnn1d,P2: 2023-Q2-Q3 (Apr-Sep),0.32528833569220095,4.72253717482069,-0.042010260489088985,3636,0.5508800880088008,12.536261949939817
cnn1d,P3: 2023-Q4-2024-Q1 (Oct-Mar),0.412627137079435,3.6002175138870416,-0.10672525721687193,3872,0.5506198347107438,11.043328797838582
cnn1d,P4: 2024-Q2-Q3 (Apr-Sep),0.13581110908371974,1.2465854880673477,-0.10711563635734166,2935,0.5236797274275979,20.594955585426817
cnn_lstm,P1: 2023-Q1 (Jan-Mar),-0.08243773196839188,-1.8866532977923167,-0.13262379953364004,1705,0.419941348973607,24.305613670160067
cnn_lstm,P2: 2023-Q2-Q3 (Apr-Sep),0.3265001362155,4.704574415171846,-0.04133564911847371,3642,0.5532674354750138,12.520614930072222
cnn_lstm,P3: 2023-Q4-2024-Q1 (Oct-Mar),0.42194896681261307,3.669065885249698,-0.107559386914117,3889,0.5559269735150424,10.776132497787389
cnn_lstm,P4: 2024-Q2-Q3 (Apr-Sep),0.1549840342265778,1.3812683517599529,-0.1112705530072383,2943,0.5212368331634387,18.58647623069125
