percentile,final_equity,max_drawdown
5,55535170.79812214,-0.4543433055740779
25,55535170.798122756,-0.4501319247129234
50,55535170.79812331,-0.44785177408032284
75,55535170.798123755,-0.44655100894894145
95,55535170.79812447,-0.4453170472484903
