percentile,cagr,sharpe,max_dd
5,-0.9983537438654447,-2.758515222100517,-1.0
25,-0.9972387266800162,-2.4701704956916837,-1.0
50,-0.9957542007261364,-2.2270956794993597,-1.0
75,-0.9939803421720614,-2.028862513745955,-1.0
95,-0.9898030808966147,-1.721144354065731,-1.0
